# ZZ,NN,Existence
2,2,bound
2,3,bound
2,4,bound
2,5,unbound
2,6,bound
2,7,unbound
2,8,unbound
2,9,unbound
3,2,unbound
3,3,bound
3,4,bound
3,5,bound
3,6,bound
3,7,unbound
3,8,bound
3,9,unbound
3,10,unbound
3,11,unbound
4,2,unbound
4,3,bound
4,4,bound
4,5,bound
4,6,bound
4,7,bound
4,8,bound
4,9,unbound
4,10,bound
4,11,unbound
4,12,unbound
4,13,unbound
4,14,unbound
4,15,unbound
5,2,unbound
5,3,bound
5,4,bound
5,5,bound
5,6,bound
5,7,bound
5,8,bound
5,9,bound
5,10,bound
5,11,bound
5,12,bound
5,13,unbound
5,14,unbound
5,15,unbound
6,2,unbound
6,3,bound
6,4,bound
6,5,bound
6,6,bound
6,7,bound
6,8,bound
6,9,bound
6,10,bound
6,11,bound
6,12,bound
6,13,unbound
6,14,bound
6,15,unbound
6,16,unbound
6,17,unbound
6,18,unbound
6,19,unbound
7,2,unbound
7,3,bound
7,4,bound
7,5,bound
7,6,bound
7,7,bound
7,8,bound
7,9,bound
7,10,bound
7,11,bound
7,12,bound
7,13,bound
7,14,bound
7,15,bound
7,16,bound
7,17,unbound
7,18,unbound
7,19,unbound
7,20,unbound
7,21,unbound
8,4,unbound
8,5,bound
8,6,bound
8,7,bound
8,8,bound
8,9,bound
8,10,bound
8,11,bound
8,12,bound
8,13,bound
8,14,bound
8,15,bound
8,16,bound
8,17,unbound
8,18,bound
8,19,unbound
8,20,unbound
8,21,unbound
8,22,unbound
8,23,unbound
8,24,unbound
8,25,unbound
8,26,unbound
9,4,unbound
9,5,bound
9,6,bound
9,7,bound
9,8,bound
9,9,bound
9,10,bound
9,11,bound
9,12,bound
9,13,bound
9,14,bound
9,15,bound
9,16,bound
9,17,bound
9,18,bound
9,19,unbound
9,20,bound
9,21,unbound
9,22,unbound
9,23,unbound
9,24,unbound
9,25,unbound
9,26,unbound
9,27,unbound
9,28,unbound
10,6,unbound
10,7,bound
10,8,bound
10,9,bound
10,10,bound
10,11,bound
10,12,bound
10,13,bound
10,14,bound
10,15,bound
10,16,bound
10,17,bound
10,18,bound
10,19,bound
10,20,bound
10,21,unbound
10,22,bound
10,23,unbound
10,24,bound
10,25,unbound
10,26,unbound
10,27,unbound
10,28,unbound
10,29,unbound
10,30,unbound
10,31,unbound
11,6,unbound
11,7,bound
11,8,bound
11,9,bound
11,10,bound
11,11,bound
11,12,bound
11,13,bound
11,14,bound
11,15,bound
11,16,bound
11,17,bound
11,18,bound
11,19,bound
11,20,bound
11,21,bound
11,22,bound
11,23,bound
11,24,bound
11,25,unbound
11,26,bound
11,27,unbound
11,28,unbound
11,29,unbound
11,30,unbound
11,31,unbound
11,32,unbound
11,33,unbound
12,6,unbound
12,7,bound
12,8,bound
12,9,bound
12,10,bound
12,11,bound
12,12,bound
12,13,bound
12,14,bound
12,15,bound
12,16,bound
12,17,bound
12,18,bound
12,19,bound
12,20,bound
12,21,bound
12,22,bound
12,23,bound
12,24,bound
12,25,bound
12,26,bound
12,27,unbound
12,28,bound
12,29,unbound
12,30,unbound
12,31,unbound
12,32,unbound
12,33,unbound
12,34,unbound
12,35,unbound
13,6,unbound
13,7,bound
13,8,bound
13,9,bound
13,10,bound
13,11,bound
13,12,bound
13,13,bound
13,14,bound
13,15,bound
13,16,bound
13,17,bound
13,18,bound
13,19,bound
13,20,bound
13,21,bound
13,22,bound
13,23,bound
13,24,bound
13,25,bound
13,26,bound
13,27,bound
13,28,bound
13,29,unbound
13,30,bound
13,31,unbound
13,32,unbound
13,33,unbound
13,34,unbound
13,35,unbound
14,8,unbound
14,9,bound
14,10,bound
14,11,bound
14,12,bound
14,13,bound
14,14,bound
14,15,bound
14,16,bound
14,17,bound
14,18,bound
14,19,bound
14,20,bound
14,21,bound
14,22,bound
14,23,bound
14,24,bound
14,25,bound
14,26,bound
14,27,bound
14,28,bound
14,29,bound
14,30,bound
14,31,unbound
14,32,bound
14,33,unbound
14,34,unbound
14,35,unbound
14,36,unbound
14,37,unbound
14,38,unbound
14,39,unbound
14,40,unbound
14,41,unbound
15,8,unbound
15,9,bound
